itm_codigo,itm_nome,itm_descricao,itm_tipo,itm_valor,itm_status
1,"Água Mineral",(500ml),BEBIDAS,3.5,1
2,"Frango Grelhado","Porção para 2 pessoas. Acompanha 1 porção de arroz, feijão e salada.",REFEIÇÕES,23.9,1
3,X-Salada,"Pão, hambúrguer, ovo, queijo, presunto, alface, tomate.",LANCHES,7.9,0
4,Pudim,"(Fatia 300g)",SOBREMESAS,3.9,1
5,"Mousse de Uva","Porção de 300g",SOBREMESAS,3.9,0
6,Feijoada,"Porção para 2 pessoas. Acompanha 1 porção de arroz e salada.",REFEIÇÕES,29.9,1
7,"Suco de Laranja","(Copo 300ml)",BEBIDAS,3.9,0
8,Coca-Cola,(2L),BEBIDAS,7.9,1
9,"Lasanha de Frango","Porção para 4 pessoas.",REFEIÇÕES,27.9,1
10,X-Picanha,"Picanha filetada, pão de hambúrguer, queijo, cream cheese, alface e tomate",LANCHES,13.9,1
11,"Mousse de Morango","Porção de 300g",SOBREMESAS,3.9,1
12,"Peixe Assado","Porção para 2 pessoas. Acompanha 1 porção de arroz e salada.",REFEIÇÕES,42.9,1
13,"Risoto de Camarão","Porção para 2 pessoas. Acompanha 1 porção salada.",REFEIÇÕES,49.9,0
14,"Fanta Laranja",(600ml),BEBIDAS,3.7,1
15,X-Tudo,"Pão, hamb., ovo, queijo, presunto, calabresa, salsicha, bacon, alface e tomate.",LANCHES,14.9,0
16,"Bolo de Chocolate","(Fatia 300g)",SOBREMESAS,3,1
17,Picanha,"Porção para 2 pessoas. Acompanha 1 porção de arroz, feijão e salada.",REFEIÇÕES,39.9,1
18,"Prato da Casa","Prato único acompanhado de arroz, feijão, filé, macarrão e salada.",REFEIÇÕES,21.9,1
19,X-Bacon,"Pão, bacon, filé, abacaxi, 3 Fatias de queijo, alface, tomate",LANCHES,10.9,0
20,"Suco de Laranja","(Jarra 600ml)",BEBIDAS,5.9,1
